idade,tempo_de_emprego,tipo_moradia,tipo_moradia_id,objetivo_emprestimo,objetivo_emprestimo_id,montante_emprestimo,taxa_juros,renda_por_ano,porc_empr_renda_anual,class_risco_historico,class_risco_historico_id,inadimplencia_hist,qtd_anos_primeiro_emprestimo,risco_emprestimo
23,0.0,propria,3,pessoal,2,1400,9.32,11000,0.13,A,0,0,3,0
24,6.0,alugada,0,reformar_casa,3,32500,9.99,65000,0.5,B,1,0,3,1
21,5.0,outro,2,educacao,1,4000,12.84,11389,0.35,C,2,1,2,1
21,5.0,propria,3,saude,5,2000,11.12,11520,0.17,B,1,0,3,1
25,2.0,alugada,0,risco,4,32000,6.62,120000,0.27,A,0,0,2,0
26,7.0,alugada,0,reformar_casa,3,31050,14.17,95000,0.33,C,2,1,3,1
21,5.0,propria,3,educacao,1,2500,7.51,12000,0.21,A,0,0,4,1
22,1.0,alugada,0,educacao,1,30000,18.39,48000,0.63,E,4,0,2,1
24,8.0,alugada,0,consolidacao_debito,0,30000,14.54,64000,0.47,D,3,1,3,1
25,4.0,alugada,0,reformar_casa,3,30000,16.89,75000,0.4,D,3,1,4,1
23,3.0,alugada,0,consolidacao_debito,0,30000,11.024070809144439,71500,0.42,D,3,0,4,1
26,6.0,alugada,0,saude,5,30000,17.99,62050,0.41,E,4,0,2,1
24,4.0,propria,3,risco,4,2500,12.69,12000,0.21,B,1,0,3,1
26,8.0,alugada,0,pessoal,2,30000,7.49,80690,0.37,A,0,0,3,1
22,4.0,alugada,0,saude,5,30000,12.69,66300,0.38,B,1,0,3,1
26,0.0,alugada,0,consolidacao_debito,0,30000,6.62,89028,0.34,A,0,0,3,1
24,4.0,alugada,0,consolidacao_debito,0,30000,11.024070809144439,78000,0.38,D,3,1,4,1
23,7.0,alugada,0,consolidacao_debito,0,30000,18.62,78000,0.38,F,5,1,3,1
23,6.0,alugada,0,pessoal,2,30000,15.23,92004,0.33,C,2,1,3,1
23,7.0,alugada,0,risco,4,30000,10.65,97000,0.31,B,1,0,2,1
25,9.0,alugada,0,educacao,1,30000,7.9,120000,0.25,A,0,0,4,0
25,9.0,alugada,0,pessoal,2,30000,7.29,128000,0.23,A,0,0,4,0
24,2.0,propria,3,risco,4,1750,11.024070809144439,12000,0.15,E,4,1,3,0
21,0.0,alugada,0,risco,4,30000,5.99,131000,0.23,A,0,0,4,0
22,6.0,alugada,0,educacao,1,29100,15.99,70000,0.42,D,3,0,3,1
22,7.0,hipoteca,1,educacao,1,1500,14.84,12000,0.13,D,3,1,3,0
25,0.0,propria,3,saude,5,3000,11.024070809144439,12000,0.25,C,2,0,3,1
22,6.0,alugada,0,saude,5,28000,11.024070809144439,56950,0.49,A,0,0,2,1
21,6.0,propria,3,educacao,1,3000,13.61,12000,0.25,C,2,1,3,1
23,2.0,alugada,0,educacao,1,28000,7.9,65000,0.43,A,0,0,2,1
26,2.0,alugada,0,risco,4,28000,7.49,85000,0.33,A,0,0,3,1
26,2.0,propria,3,educacao,1,6100,7.51,12000,0.51,A,0,0,3,1
22,6.0,alugada,0,risco,4,28000,9.91,88000,0.32,B,1,0,3,1
21,0.0,propria,3,pessoal,2,4200,13.48,12000,0.35,C,2,1,4,1
22,6.0,propria,3,consolidacao_debito,0,4750,7.14,12000,0.4,A,0,0,2,1
24,0.0,alugada,0,risco,4,28000,15.99,83004,0.34,D,3,1,4,1
25,5.0,alugada,0,consolidacao_debito,0,28000,12.69,100000,0.28,B,1,0,3,0
26,10.0,alugada,0,educacao,1,28000,8.9,110000,0.25,A,0,0,2,0
26,0.0,propria,3,consolidacao_debito,0,2700,11.024070809144439,12000,0.23,A,0,0,4,1
22,6.0,alugada,0,educacao,1,28000,11.024070809144439,108000,0.26,B,1,0,4,1
23,7.0,alugada,0,consolidacao_debito,0,28000,11.11,151200,0.19,B,1,0,2,0
24,2.0,alugada,0,reformar_casa,3,27600,11.024070809144439,69000,0.4,A,0,0,2,1
21,5.0,hipoteca,1,consolidacao_debito,0,3250,15.68,12000,0.27,E,4,1,3,1
22,4.0,alugada,0,educacao,1,27500,13.06,70000,0.39,C,2,1,3,1
26,5.0,alugada,0,risco,4,27050,15.62,73200,0.37,D,3,1,2,1
24,5.0,alugada,0,pessoal,2,27000,13.49,83000,0.33,C,2,1,2,1
24,0.0,alugada,0,risco,4,27000,11.024070809144439,73399,0.37,D,3,0,3,1
23,7.0,alugada,0,saude,5,26000,11.71,62500,0.42,B,1,0,2,1
23,1.0,alugada,0,educacao,1,25600,12.69,120000,0.21,B,1,0,3,0
24,2.0,propria,3,saude,5,1600,13.57,12360,0.13,C,2,0,3,0
22,0.0,alugada,0,risco,4,25475,10.99,60000,0.42,B,1,0,3,1
23,7.0,alugada,0,educacao,1,25300,10.99,83000,0.3,B,1,0,3,1
25,3.0,propria,3,pessoal,2,1750,13.61,12600,0.14,C,2,0,3,0
21,3.0,alugada,0,educacao,1,25000,12.73,42500,0.59,C,2,1,3,1
24,2.0,alugada,0,reformar_casa,3,25000,11.024070809144439,41000,0.61,D,3,0,3,1
25,0.0,propria,3,consolidacao_debito,0,3000,12.87,12816,0.23,C,2,1,4,1
24,1.0,hipoteca,1,reformar_casa,3,3650,9.91,12960,0.28,B,1,0,3,1
24,0.0,hipoteca,1,consolidacao_debito,0,4500,11.83,12960,0.35,B,1,0,4,1
23,0.0,propria,3,consolidacao_debito,0,2400,13.49,12996,0.18,C,2,1,2,1
22,6.0,alugada,0,saude,5,25000,14.59,42000,0.6,D,3,1,2,1
26,2.0,alugada,0,educacao,1,25000,9.64,48000,0.52,B,1,0,4,1
25,1.0,propria,3,saude,5,3600,14.59,12996,0.28,D,3,0,3,1
22,1.0,propria,3,educacao,1,4750,11.024070809144439,12996,0.37,B,1,0,3,1
25,1.0,alugada,0,educacao,1,25000,16.35,42360,0.59,E,4,1,3,1
21,4.0,alugada,0,educacao,1,25000,10.99,49000,0.51,B,1,0,2,1
22,5.0,alugada,0,pessoal,2,25000,11.83,49464,0.51,B,1,0,3,1
23,1.0,alugada,0,consolidacao_debito,0,25000,7.9,50000,0.5,A,0,0,3,1
25,4.0,alugada,0,reformar_casa,3,25000,5.99,50000,0.5,A,0,0,2,1
24,2.0,alugada,0,consolidacao_debito,0,25000,15.33,44000,0.57,D,3,0,2,1
23,1.0,alugada,0,risco,4,25000,11.83,50000,0.5,B,1,0,4,1
22,0.0,alugada,0,risco,4,25000,10.36,50004,0.5,B,1,0,2,1
22,3.0,alugada,0,risco,4,25000,12.23,50004,0.5,C,2,0,3,1
22,2.0,alugada,0,educacao,1,25000,11.11,52000,0.48,B,1,0,4,1
23,3.0,propria,3,consolidacao_debito,0,4950,7.9,13200,0.38,A,0,0,4,1
23,1.0,alugada,0,pessoal,2,25000,13.22,52000,0.48,C,2,0,2,1
26,2.0,alugada,0,consolidacao_debito,0,25000,11.86,46000,0.54,D,3,0,4,1
22,5.0,alugada,0,educacao,1,25000,13.43,53000,0.47,C,2,1,4,1
26,0.0,alugada,0,reformar_casa,3,25000,15.28,47000,0.53,D,3,1,2,1
23,1.0,alugada,0,risco,4,25000,17.93,47000,0.53,E,4,0,2,1
23,2.0,hipoteca,1,educacao,1,1400,9.25,13200,0.11,B,1,0,4,0
21,0.0,propria,3,risco,4,4500,12.98,13200,0.34,C,2,0,4,1
26,5.0,alugada,0,risco,4,25000,18.43,48000,0.52,F,5,0,2,1
22,6.0,alugada,0,educacao,1,25000,11.024070809144439,54996,0.45,B,1,0,4,1
24,4.0,alugada,0,reformar_casa,3,25000,11.024070809144439,55000,0.45,D,3,1,4,1
23,4.0,alugada,0,educacao,1,25000,11.36,55000,0.45,B,1,0,3,1
23,4.0,alugada,0,educacao,1,25000,15.65,55000,0.45,D,3,1,3,1
24,8.0,alugada,0,pessoal,2,25000,13.22,55164,0.45,C,2,1,4,1
26,4.0,alugada,0,consolidacao_debito,0,25000,12.87,56000,0.45,C,2,0,2,1
23,5.0,hipoteca,1,educacao,1,22000,17.58,190000,0.12,F,5,1,3,1
23,2.0,propria,3,pessoal,2,7750,17.04,13920,0.56,E,4,0,4,1
24,0.0,alugada,0,pessoal,2,25000,10.99,60000,0.42,B,1,0,3,1
24,2.0,alugada,0,pessoal,2,25000,11.11,60000,0.42,B,1,0,3,1
26,7.0,alugada,0,consolidacao_debito,0,25000,14.83,54000,0.46,D,3,1,2,1
23,2.0,propria,3,consolidacao_debito,0,4000,11.024070809144439,14000,0.29,D,3,0,3,1
24,8.0,alugada,0,saude,5,12000,12.69,200000,0.06,B,1,0,2,0
24,8.0,hipoteca,1,reformar_casa,3,12000,13.49,200000,0.06,C,2,0,2,0
21,5.0,hipoteca,1,educacao,1,16000,14.65,200000,0.08,C,2,0,4,0
25,3.0,alugada,0,reformar_casa,3,25000,16.82,54000,0.46,E,4,0,4,1
23,3.0,alugada,0,pessoal,2,25000,12.73,60000,0.42,C,2,0,3,1
23,7.0,alugada,0,pessoal,2,25000,10.25,60000,0.42,B,1,0,4,1
21,6.0,alugada,0,educacao,1,25000,10.99,60000,0.42,B,1,0,4,1
25,9.0,alugada,0,saude,5,25000,12.73,61959,0.4,C,2,0,2,1
22,2.0,alugada,0,reformar_casa,3,25000,14.96,56400,0.44,D,3,1,3,1
23,7.0,hipoteca,1,educacao,1,28000,11.024070809144439,200000,0.14,A,0,0,2,0
21,2.0,hipoteca,1,consolidacao_debito,0,25000,13.99,200000,0.13,C,2,0,2,0
24,3.0,hipoteca,1,risco,4,24000,7.49,200000,0.12,A,0,0,4,0
26,4.0,hipoteca,1,educacao,1,15000,14.79,200000,0.07,C,2,0,3,0
25,2.0,hipoteca,1,consolidacao_debito,0,15500,11.99,200000,0.08,B,1,0,2,0
24,8.0,alugada,0,educacao,1,10000,8.49,200000,0.05,A,0,0,4,0
24,3.0,alugada,0,educacao,1,25000,9.91,66000,0.38,B,1,0,2,1
22,6.0,alugada,0,educacao,1,25000,13.06,66000,0.38,C,2,1,3,1
22,6.0,hipoteca,1,consolidacao_debito,0,9000,6.17,200000,0.04,A,0,0,4,0
25,5.0,alugada,0,educacao,1,18000,16.32,200000,0.09,D,3,0,3,0
25,2.0,hipoteca,1,risco,4,12000,10.38,200000,0.06,B,1,0,2,0
25,9.0,hipoteca,1,pessoal,2,23050,14.35,200000,0.12,C,2,0,3,0
24,8.0,hipoteca,1,consolidacao_debito,0,20000,11.024070809144439,200000,0.1,B,1,0,3,0
24,2.0,alugada,0,consolidacao_debito,0,25000,11.024070809144439,60000,0.42,E,4,1,2,1
21,0.0,propria,3,reformar_casa,3,3000,11.024070809144439,14400,0.21,B,1,0,4,1
26,10.0,alugada,0,pessoal,2,25000,15.21,66996,0.37,D,3,1,2,1
23,3.0,alugada,0,educacao,1,25000,7.9,67000,0.37,A,0,0,4,1
24,2.0,alugada,0,risco,4,25000,10.99,67000,0.37,B,1,0,3,1
24,5.0,alugada,0,pessoal,2,25000,14.09,68000,0.37,D,3,1,3,1
25,9.0,alugada,0,pessoal,2,25000,17.49,69000,0.36,D,3,0,2,1
25,0.0,hipoteca,1,educacao,1,12000,11.48,200000,0.06,B,1,0,3,0
26,10.0,hipoteca,1,risco,4,20000,17.74,188000,0.11,E,4,0,2,1
26,4.0,hipoteca,1,pessoal,2,3000,13.92,200000,0.01,C,2,0,3,0
25,9.0,alugada,0,educacao,1,25000,15.21,69996,0.36,D,3,0,3,1
22,2.0,propria,3,saude,5,4000,10.99,14400,0.28,B,1,0,3,1
24,3.0,alugada,0,educacao,1,25000,11.86,70000,0.36,B,1,0,4,1
24,5.0,propria,3,pessoal,2,6000,7.49,14400,0.42,A,0,0,3,1
24,7.0,alugada,0,saude,5,25000,16.49,56100,0.38,D,3,0,4,1
25,9.0,alugada,0,risco,4,25000,15.33,66000,0.38,D,3,1,2,1
26,3.0,alugada,0,reformar_casa,3,25000,11.58,66000,0.38,B,1,0,4,1
25,7.0,propria,3,educacao,1,5375,5.79,14400,0.37,A,0,0,2,1
25,9.0,alugada,0,saude,5,25000,13.11,72612,0.34,C,2,0,2,1
23,3.0,alugada,0,saude,5,25000,10.36,74000,0.34,B,1,0,3,1
25,9.0,alugada,0,consolidacao_debito,0,25000,10.36,75000,0.33,B,1,0,2,1
24,0.0,alugada,0,saude,5,22000,11.024070809144439,192000,0.11,C,2,1,2,0
25,1.0,hipoteca,1,saude,5,10000,12.53,191000,0.05,B,1,0,4,0
26,5.0,hipoteca,1,pessoal,2,15000,11.024070809144439,190300,0.08,A,0,0,3,0
22,3.0,hipoteca,1,risco,4,10000,11.024070809144439,190000,0.05,C,2,0,3,0
24,4.0,alugada,0,educacao,1,25000,10.25,75000,0.33,B,1,0,4,1
22,1.0,alugada,0,educacao,1,25000,15.95,71000,0.35,D,3,1,4,1
26,3.0,hipoteca,1,risco,4,20000,12.18,190000,0.11,B,1,0,4,0
23,0.0,propria,3,pessoal,2,24000,11.83,189996,0.13,B,1,0,3,0
23,7.0,alugada,0,consolidacao_debito,0,25000,11.024070809144439,78000,0.32,C,2,1,2,1
23,1.0,alugada,0,risco,4,25000,10.62,78000,0.32,B,1,0,3,1
23,7.0,alugada,0,risco,4,25000,10.74,78504,0.32,B,1,0,3,1
25,9.0,propria,3,risco,4,10000,10.25,186000,0.05,B,1,0,4,0
25,6.0,alugada,0,risco,4,15000,15.27,185000,0.08,C,2,0,2,0
24,8.0,alugada,0,saude,5,25000,15.33,62050,0.34,D,3,1,2,1
23,7.0,alugada,0,risco,4,25000,15.21,79416,0.31,D,3,1,2,1
21,4.0,propria,3,risco,4,6250,14.72,14400,0.43,C,2,0,2,1
24,8.0,alugada,0,pessoal,2,25000,15.7,79631,0.31,D,3,1,2,1
24,0.0,alugada,0,educacao,1,25000,13.35,79632,0.31,C,2,0,4,1
21,0.0,hipoteca,1,saude,5,1500,11.024070809144439,14400,0.1,C,2,0,4,0
24,6.0,alugada,0,educacao,1,25000,6.62,80000,0.31,A,0,0,2,1
26,5.0,alugada,0,consolidacao_debito,0,25000,13.61,80000,0.31,C,2,0,4,1
22,4.0,alugada,0,saude,5,25000,11.36,185000,0.14,B,1,0,2,0
26,10.0,propria,3,pessoal,2,5000,7.68,185000,0.03,A,0,0,2,0
24,7.0,alugada,0,reformar_casa,3,22000,14.46,184992,0.12,D,3,1,4,0
23,5.0,propria,3,educacao,1,2500,11.83,184000,0.01,B,1,0,2,0
24,6.0,hipoteca,1,consolidacao_debito,0,20000,13.47,172000,0.12,C,2,1,4,1
24,2.0,hipoteca,1,saude,5,20000,11.49,183000,0.11,B,1,0,3,0
22,3.0,hipoteca,1,educacao,1,1000,11.024070809144439,183000,0.01,A,0,0,2,0
25,9.0,hipoteca,1,pessoal,2,15000,6.03,182952,0.08,A,0,0,3,0
23,7.0,alugada,0,consolidacao_debito,0,25000,16.35,74004,0.34,E,4,0,4,1
26,10.0,alugada,0,consolidacao_debito,0,25000,11.024070809144439,74004,0.34,D,3,1,4,1
25,5.0,alugada,0,consolidacao_debito,0,25000,7.29,81000,0.31,A,0,0,3,1
23,1.0,alugada,0,saude,5,25000,11.36,81600,0.31,B,1,0,3,1
24,8.0,alugada,0,risco,4,25000,10.25,82000,0.3,B,1,0,2,0
24,5.0,alugada,0,educacao,1,25000,11.12,83000,0.3,B,1,0,3,0
24,5.0,alugada,0,pessoal,2,25000,12.92,83000,0.3,D,3,1,3,0
24,8.0,alugada,0,educacao,1,18000,18.64,180000,0.1,E,4,1,4,0
23,8.0,hipoteca,1,pessoal,2,28000,7.51,180000,0.16,A,0,0,3,0
23,2.0,propria,3,reformar_casa,3,4000,16.7,14400,0.28,E,4,0,2,1
22,0.0,propria,3,pessoal,2,2100,11.14,14400,0.15,B,1,0,4,0
22,6.0,alugada,0,pessoal,2,25000,18.3,84500,0.3,F,5,0,4,0
24,5.0,alugada,0,saude,5,25000,10.62,85000,0.29,B,1,0,4,0
24,7.0,hipoteca,1,risco,4,14000,11.99,180000,0.08,B,1,0,2,0
26,2.0,hipoteca,1,risco,4,12000,9.63,180000,0.07,B,1,0,4,0
25,9.0,hipoteca,1,saude,5,10000,18.25,142800,0.06,F,5,0,4,1
23,0.0,hipoteca,1,consolidacao_debito,0,6000,11.024070809144439,14664,0.41,C,2,0,4,1
24,8.0,alugada,0,reformar_casa,3,25000,14.84,87000,0.29,D,3,0,3,0
24,0.0,alugada,0,risco,4,25000,14.7,75000,0.33,E,4,1,3,1
23,7.0,alugada,0,consolidacao_debito,0,25000,16.02,76000,0.33,D,3,0,4,1
23,1.0,alugada,0,saude,5,25000,15.37,66215,0.32,D,3,1,2,1
25,9.0,alugada,0,saude,5,25000,10.99,90000,0.28,B,1,0,4,0
21,0.0,propria,3,reformar_casa,3,6200,7.9,15000,0.41,A,0,0,2,1
26,2.0,propria,3,pessoal,2,25000,10.99,180000,0.14,B,1,0,4,0
24,8.0,propria,3,educacao,1,21000,11.48,180000,0.12,B,1,0,3,0
25,9.0,propria,3,saude,5,20000,14.26,180000,0.11,C,2,1,4,0
26,0.0,propria,3,reformar_casa,3,10000,8.0,180000,0.06,A,0,0,4,0
25,3.0,hipoteca,1,risco,4,9950,11.26,180000,0.06,B,1,0,2,0
23,7.0,propria,3,saude,5,4475,11.024070809144439,15000,0.3,B,1,0,4,1
23,2.0,alugada,0,risco,4,25000,16.32,78000,0.32,D,3,1,3,1
25,3.0,alugada,0,saude,5,25000,17.93,66300,0.32,E,4,1,4,1
23,0.0,alugada,0,consolidacao_debito,0,25000,11.36,90000,0.28,B,1,0,3,0
24,9.0,alugada,0,consolidacao_debito,0,25000,14.96,79000,0.32,D,3,1,4,1
24,4.0,alugada,0,pessoal,2,25000,13.43,91800,0.27,C,2,1,3,0
25,6.0,alugada,0,reformar_casa,3,25000,12.69,92000,0.27,B,1,0,3,0
24,1.0,alugada,0,risco,4,25000,12.73,92000,0.27,C,2,1,4,0
23,3.0,alugada,0,risco,4,25000,15.21,93600,0.27,D,3,0,4,0
23,1.0,hipoteca,1,saude,5,1750,12.68,15000,0.12,C,2,1,3,0
23,3.0,alugada,0,saude,5,25000,19.04,70550,0.3,F,5,1,4,1
25,2.0,alugada,0,consolidacao_debito,0,25000,15.95,83800,0.3,D,3,1,3,1
26,3.0,hipoteca,1,risco,4,2600,8.9,175000,0.01,A,0,0,4,0
25,10.0,hipoteca,1,reformar_casa,3,8000,7.9,175000,0.05,A,0,0,2,0
22,6.0,hipoteca,1,educacao,1,18000,11.024070809144439,175000,0.1,B,1,0,2,0
23,8.0,hipoteca,1,pessoal,2,21000,11.99,175000,0.12,B,1,0,3,0
23,4.0,propria,3,consolidacao_debito,0,4000,13.98,15000,0.27,C,2,0,4,1
23,4.0,propria,3,risco,4,4600,10.99,15000,0.31,B,1,0,2,1
22,6.0,alugada,0,consolidacao_debito,0,25000,15.58,88000,0.28,D,3,1,2,1
25,2.0,alugada,0,saude,5,25000,10.99,74800,0.28,B,1,0,2,1
25,0.0,alugada,0,risco,4,25000,14.96,88000,0.28,D,3,0,4,1
25,2.0,propria,3,reformar_casa,3,1750,15.31,15000,0.12,D,3,1,4,0
26,2.0,alugada,0,risco,4,25000,15.65,88000,0.28,D,3,0,3,1
25,1.0,alugada,0,risco,4,25000,9.33,100000,0.25,B,1,0,4,0
23,0.0,hipoteca,1,pessoal,2,3600,13.47,15000,0.24,C,2,0,4,1
24,8.0,alugada,0,pessoal,2,25000,10.36,102400,0.24,B,1,0,3,0
24,1.0,alugada,0,reformar_casa,3,25000,16.77,92000,0.27,E,4,1,4,1
23,0.0,alugada,0,consolidacao_debito,0,25000,14.59,93000,0.27,D,3,1,2,1
22,6.0,alugada,0,risco,4,3500,11.91,175000,0.02,C,2,1,2,0
23,3.0,hipoteca,1,educacao,1,7200,8.38,175000,0.04,A,0,0,3,0
25,9.0,alugada,0,risco,4,9000,10.59,174708,0.05,B,1,0,3,0
25,2.0,hipoteca,1,consolidacao_debito,0,8800,14.27,174000,0.05,C,2,0,3,0
26,8.0,alugada,0,consolidacao_debito,0,12000,12.53,174000,0.07,B,1,0,4,0
25,5.0,hipoteca,1,consolidacao_debito,0,25000,16.0,162000,0.15,E,4,1,3,1
26,10.0,hipoteca,1,risco,4,10000,11.71,173467,0.06,B,1,0,4,0
21,0.0,propria,3,reformar_casa,3,3175,11.54,15000,0.21,C,2,1,3,1
25,2.0,alugada,0,reformar_casa,3,25000,15.68,96000,0.26,E,4,1,4,1
21,0.0,hipoteca,1,educacao,1,1500,10.59,15120,0.1,B,1,0,2,0
24,8.0,alugada,0,reformar_casa,3,25000,12.61,97908,0.26,D,3,1,2,1
26,3.0,alugada,0,pessoal,2,25000,11.024070809144439,110000,0.23,C,2,1,2,0
23,7.0,hipoteca,1,pessoal,2,2800,8.49,15204,0.18,A,0,0,3,1
25,0.0,alugada,0,pessoal,2,30000,17.27,159600,0.19,D,3,1,4,1
24,6.0,alugada,0,consolidacao_debito,0,18000,8.9,171500,0.1,A,0,0,4,0
25,3.0,hipoteca,1,saude,5,10000,11.11,170004,0.06,B,1,0,4,0
24,0.0,alugada,0,reformar_casa,3,25000,14.59,158004,0.16,D,3,1,2,1
26,0.0,alugada,0,risco,4,13000,12.42,170000,0.08,B,1,0,3,0
24,0.0,alugada,0,saude,5,25000,11.024070809144439,83300,0.26,D,3,0,2,1
24,7.0,alugada,0,reformar_casa,3,25000,15.7,110000,0.23,D,3,1,2,0
22,7.0,propria,3,reformar_casa,3,2500,12.53,15360,0.16,B,1,0,3,1
25,3.0,alugada,0,saude,5,5000,16.49,134300,0.03,D,3,0,2,1
25,2.0,hipoteca,1,educacao,1,20000,7.49,170000,0.12,A,0,0,2,0
22,6.0,alugada,0,consolidacao_debito,0,25000,14.96,100580,0.25,D,3,1,2,1
25,7.0,alugada,0,saude,5,25000,12.73,113000,0.22,C,2,1,4,0
24,8.0,alugada,0,educacao,1,25000,10.65,120000,0.21,B,1,0,4,0
25,6.0,alugada,0,saude,5,25000,10.74,120000,0.21,B,1,0,2,0
23,7.0,alugada,0,educacao,1,25000,9.99,120000,0.21,B,1,0,2,0
24,5.0,alugada,0,saude,5,25000,15.33,91800,0.23,D,3,1,2,1
21,5.0,propria,3,risco,4,1000,7.29,15600,0.06,A,0,0,4,0
26,2.0,alugada,0,pessoal,2,25000,15.05,108000,0.23,D,3,0,3,1
26,6.0,alugada,0,pessoal,2,25000,10.75,129996,0.19,B,1,0,3,0
23,4.0,alugada,0,educacao,1,25000,16.02,130000,0.19,D,3,1,2,0
23,7.0,alugada,0,risco,4,25000,11.49,130000,0.19,B,1,0,4,0
25,4.0,propria,3,educacao,1,20000,12.53,170000,0.12,B,1,0,4,0
26,0.0,hipoteca,1,risco,4,12000,13.57,170000,0.07,C,2,1,2,0
22,1.0,alugada,0,pessoal,2,14000,11.14,169000,0.08,B,1,0,3,0
26,10.0,alugada,0,saude,5,24250,12.87,168750,0.14,C,2,1,3,0
23,3.0,alugada,0,educacao,1,20000,11.58,168600,0.12,B,1,0,3,0
24,5.0,alugada,0,reformar_casa,3,1800,11.12,168288,0.01,B,1,0,3,0
25,2.0,hipoteca,1,pessoal,2,35000,10.65,168000,0.21,B,1,0,2,0
24,6.0,alugada,0,consolidacao_debito,0,25000,10.37,133300,0.19,B,1,0,2,0
24,5.0,propria,3,reformar_casa,3,3300,6.39,15600,0.21,A,0,0,4,1
24,8.0,alugada,0,pessoal,2,25000,16.07,134000,0.19,D,3,1,3,0
25,7.0,alugada,0,saude,5,25000,10.62,134000,0.19,B,1,0,2,0
25,0.0,propria,3,risco,4,3200,18.09,15600,0.21,F,5,0,2,1
25,5.0,alugada,0,educacao,1,25000,11.36,135000,0.19,B,1,0,4,0
26,10.0,alugada,0,consolidacao_debito,0,25000,12.53,135660,0.18,B,1,0,4,0
25,0.0,alugada,0,educacao,1,25000,9.99,145000,0.17,B,1,0,4,0
23,4.0,alugada,0,educacao,1,25000,10.36,150000,0.17,B,1,0,3,0
23,3.0,hipoteca,1,educacao,1,9600,5.99,165000,0.06,A,0,0,3,0
22,5.0,hipoteca,1,consolidacao_debito,0,24000,15.62,153000,0.16,D,3,1,2,1
24,5.0,hipoteca,1,pessoal,2,20000,10.37,165000,0.12,B,1,0,4,0
25,0.0,hipoteca,1,reformar_casa,3,25000,19.74,165000,0.15,F,5,0,4,0
21,5.0,hipoteca,1,educacao,1,20000,6.91,165000,0.12,A,0,0,4,0
23,7.0,propria,3,saude,5,6000,7.9,16000,0.38,A,0,0,2,1
23,3.0,hipoteca,1,consolidacao_debito,0,2275,13.06,16000,0.14,C,2,1,4,0
23,7.0,propria,3,pessoal,2,2000,6.39,16000,0.13,A,0,0,3,0
23,1.0,alugada,0,consolidacao_debito,0,25000,14.93,148000,0.17,E,4,0,3,1
23,1.0,hipoteca,1,saude,5,5600,12.84,16000,0.35,C,2,0,4,1
24,3.0,propria,3,risco,4,3625,17.14,16020,0.23,E,4,1,2,1
22,2.0,hipoteca,1,risco,4,5500,7.14,16094,0.34,A,0,0,3,1
25,2.0,alugada,0,pessoal,2,25000,8.9,175000,0.14,A,0,0,2,0
22,6.0,propria,3,pessoal,2,2000,12.42,16200,0.12,B,1,0,3,0
24,7.0,alugada,0,reformar_casa,3,25000,12.68,185000,0.14,C,2,1,2,0
25,9.0,alugada,0,pessoal,2,25000,11.03,162000,0.15,C,2,0,2,0
26,10.0,alugada,0,risco,4,30000,7.9,161000,0.19,A,0,0,4,0
